bug,genus
A.baumannii,Acinetobacter
Acinetobacter,Acinetobacter
Aerococcus,Aerococcus
C.dificile,Clostridium
C.freundii,Citrobacter
C.jejuni,Campylobacter
Campylobacter,Campylobacter
Citrobacter,Citrobacter
CoNS,Staphylococcus
E.cloacae,Enterobacter
E.coli,Escherichia
E.faecalis,Enterococcus
E.faecium,Enterococcus
Enterobacter,Enterobacter
Enterococcus,Enterococcus
Escherichia,Escherichia
H.influenzae,Haemophilus
H.pylori,Helicobacter
Haemophilus,Haemophilus
K.oxytoca,Klebsiella
K.pneumoniae,Klebsiella
Klebsiella,Klebsiella
Kocuria,Kocuria
M.catarrhalis,Moraxella
M.morganii,Morganella
M.pneumoniae,Mycoplasma
M.tuberculosis,Mycobacterium
Morganella,Morganella
Multiple,Multiple
N.gonorrhoeae,Neisseria
P.acnes,Cutibacterium
P.aeruginosa,Pseudomonas
P.mirabilis,Proteus
P.vulgaris,Proteus
Proteus,Proteus
Providencia,Providencia
Pseudomonas,Pseudomonas
S.agalactiae,Streptococcus
S.aureus,Staphylococcus
S.epidermidis,Staphylococcus
S.maltophilia,Stenotrophomonas
S.pneumoniae,Streptococcus
S.pyogenes,Streptococcus
S.saprophyticus,Staphylococcus
Salmonella,Salmonella
Shigella,Shigella
Staphylococcus,Staphylococcus
Streptococcus,Streptococcus
T.pallidum,Treponema