paper,pmid
2,30947695
3,29982570
4,30550238
5,29040608
7,26740324
8,25013979
9,24631369
10,24330553
11,23573984
12,22967697
13,21901873
14,21272420
15,21545312
16,19808237
17,19703843
18,19269873
19,17728510
20,17335597
21,16102308
23,15310167
24,15075018
25,11136262
26,10949327
27,12760850
28,12363009
29,8405150
30,2117870
34,30005979
35,29969753
36,29468052
37,29157323
38,28839298
40,29197427
41,27333718
44,24687499
45,23967255
46,23840002
47,23433241
51,22572670
53,21873378
55,20092664
57,18830725
58,18313513
61,16499254
62,15947850
63,15609696
65,11597287
67,9498447
68,9301992
69,8824968
70,3527699
71,120628
73,31828045
74,31547889
76,31440915
77,31385490
78,30805183
79,31357057
80,30755176
81,30637361
82,29597292
84,29304746
86,28480653
87,26987479
89,26092570
90,25781009
91,25759550
92,25814302
93,25504299
95,25581808
96,25413920
99,23638834
100,21771441
101,20943819
102,20809835
103,20211888
104,21294447
105,20966623
106,21829498
107,18808361
110,17728509
111,17083381
112,16174685
114,11777360
116,11713400
117,10619736
118,31188848
119,30440065
120,29992016
122,28501582
123,28087318
124,27709861
127,26833774
128,26577970
129,26164355
131,26842176
132,24725516
133,23959315
134,22574696
135,20214081
136,19446980
137,19285897
138,19287838
141,15236849
142,14986159
143,14553870
144,12018473
145,11468105
146,10619737
147,10543737
148,27846254
149,32576154
150,31798838
151,31499177
152,30845149
153,30819135
154,29961840
155,30724694
156,30728954
158,30027805
159,29284419
160,28961888
161,29138101
162,28949279
163,28615465
164,28506722
165,28345426
166,27744103
167,27631162
168,26918818
169,26937912
170,26667678
172,26147515
174,25960385
175,25689297
176,25525198
177,25220697
178,24652673
179,24084640
180,23725981
181,24156217
182,23090037
183,23267668
184,22795635
185,22579652
186,22552451
187,22217142
188,22103749
189,21880098
190,21324205
191,21412585
192,21131751
193,20638598
194,20652344
196,20225774
198,19751432
199,23587776
200,19297267
201,18397923
202,18400612
203,18227764
204,17977993
205,17893757
206,17105833
207,16766005
209,16549015
210,16473503
211,15715717
213,15573843
215,15214879
216,14986245
217,14614074
218,14585850
219,12458134
220,12234869
221,12096005
222,11959559
223,11936736
224,11932142
225,11389500
226,11353617
227,11158087
228,11414411
229,11091043
230,10952606
231,10968491
232,10797084
233,10629012
234,10413735
235,9866434
236,9195057
237,8762847
238,8592999
239,7619999
240,7893874
241,1477389
242,2052962
243,2496174
244,3655402
245,6341595
246,12851
247,31582419
248,31296179
249,31529852
250,30917150
251,30203738
252,30041525
254,29160117
255,28681811
256,28098543
257,28157459
258,27896620
259,27801368
260,27575938
261,27306116
262,27178769
263,26980934
264,26747068
265,26632819
266,25661133
267,24618888
268,24094837
269,24043693
271,23746128
272,23786942
273,23540793
276,23063776
277,22802256
280,21795819
281,21731993
283,21450969
284,20424552
285,19369103
287,19074658
288,19030711
290,18077618
291,18073151
292,17888610
293,17974221
294,17933699
295,17539982
296,17530038
297,16775214
298,16520472
299,16243229
300,16023881
301,15504260
302,15328089
303,15265833
304,15215091
305,12925100
306,12792711
307,12684907
308,12542200
309,11858909
310,11731940
311,11679555
312,10571705
313,10868529
314,9847953
315,30646267
316,9182104
317,8821601
318,7623880
319,7795081
320,8014487
321,3885842
322,6202743
324,12667237
325,18356156
326,16598044
327,11231185
328,26243258
329,26302942
331,23625165
332,30010391
334,28877088
335,20814127
337,18197977
339,24758533
340,16506084
341,16212123
342,11173812
343,8843307
344,7963641
345,20038489
346,19085372
348,27048586
349,21220537
350,11516934
351,11343444
352,30976388
353,15128722
354,20013094
356,27900889
357,17577813
359,11095556
361,9239768
362,26701944
363,17061600
364,20387723
365,27244961
366,20487614
367,16351027
369,10897231
371,16529904